symbol,company_name,overview.listing_board,overview.industry,overview.sub_industry,overview.sector,overview.sub_sector,overview.market_cap,overview.market_cap_rank,overview.address,overview.employee_num,overview.listing_date,overview.website,overview.phone,overview.email,overview.last_close_price,overview.latest_close_date,overview.daily_close_change
BMAS.JK,PT Bank Maspion Indonesia Tbk.,Development,Banks,Banks,Financials,Banks,10409052471296,136,"Pakuwon Tower, Tunjungan Plaza 6 Lantai 32 & 33, Jln. Embong Malang No. 21 - 31, Surabaya",896,2013-07-11,www.bankmaspion.co.id,031-98588789,corsec@bankmaspion.co.id,575,2024-09-09,0.116504854368932
BMRI.JK,PT Bank Mandiri (Persero) Tbk,Main,Banks,Banks,Financials,Banks,676666393231360,6,"Plaza Mandiri, Jl. Jend. Gatot Subroto Kav.36-38, Jakarta 12190",38769,2003-07-14,www.bankmandiri.co.id,5265045; 5265095 (Hunting),cma@bankmandiri.co.id,7250,2024-09-09,0.0
BNBA.JK,Bank Bumi Arta Tbk,Development,Banks,Banks,Financials,Banks,2574880079872,280,"Jl. Wahid Hasyim No. 234-236
Jakarta 10250",650,2006-06-01,www.bankbba.co.id,2300-455,lyvinia_sari@bankbba.co.id,760,2024-09-09,-0.0193548387096774
BNGA.JK,PT Bank CIMB Niaga Tbk,Main,Banks,Banks,Financials,Banks,47133575086080,42,"Graha CIMB Niaga
Jl. Jend. Sudirman Kav. 58
Jakarta 12190",11035,1989-11-29,www.cimbniaga.com,"250-5252, 250-5353",Corporate.Secretary@cimbniaga.co.id,1890,2024-09-09,-0.00263852242744063
BNII.JK,PT Bank Maybank Indonesia Tbk,Main,Banks,Banks,Financials,Banks,17681925275648,97,"Sentral Senayan III, 26th floor, Jl. Asia Afrika No. 8, Gelora Bung Karno Senayan, Jakarta 10270",9763,1989-11-21,www.maybank.co.id,021-29228888,Putu.Dewika.A@maybank.co.id,232,2024-09-09,0.00869565217391304
BNLI.JK,Bank Permata Tbk,Development,Banks,Banks,Financials,Banks,43236651433984,45,"Gedung World Trade Center II, Jl. Jend. Sudirman Kav. 29-31, Jakarta  12920",6683,1990-01-15,www.permatabank.co.id,021-5237788,,1195,2024-09-09,0.0127118644067797
BRIS.JK,PT Bank Syariah Indonesia Tbk,Main,Banks,Banks,Financials,Banks,120858760708096,16,"Gedung The Tower, Jalan Gatot Subroto No.27, Kel. Karet Semanggi, Kec. Setiabudi, Jakarta Selatan 12930",17234,2018-05-09,www.bankbsi.co.id,+62 21 30405999,corporate.secretary@bankbsi.co.id,2620,2024-09-09,-0.00380228136882129
BSIM.JK,Bank Sinarmas Tbk,Main,Banks,Banks,Financials,Banks,16463026978816,100,"Sinar Mas Land Plaza - Menara 1 Lantai 8
l. MH. Thamrin No. 51
Jakarta 10350",4827,2010-12-13,www.banksinarmas.com,021-31990101,retno.t.wulandari@banksinarmas.com,835,2024-09-09,-0.0402298850574713
BSWD.JK,Bank of India Indonesia Tbk,Watchlist,Banks,Banks,Financials,Banks,11066609238016,130,Jl. KH Samanhudi No. 37 RT 005 RW 003 Pasar Baru Sawah Besar Jakarta Pusat DKI Jakarta,228,2002-05-01,www.boiindonesia.co.id,021-3500007,corporate@boiindonesia.co.id,3000,2024-09-09,0.0
BTPN.JK,PT Bank BTPN Tbk,Main,Banks,Banks,Financials,Banks,25124325556224,76,"Menara BTPN, CBD Mega Kuningan Lantai 29, Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6",29142,2008-03-12,www.btpn.com,021-300 26 200,corporate.secretary@btpn.com,2360,2024-09-09,0.0
BTPS.JK,PT Bank BTPN Syariah Tbk.,Main,Banks,Banks,Financials,Banks,9513773039616,140,"Menara BTPN Lantai 12, CBD Mega Kuningan, Jl. DR Ide Anak Agung Gde Agung Kav. 5.5-5.6, Jakarta Selatan 12950",14428,2018-05-08,www.btpnsyariah.com,+62-21 300 26 400,corsec@btpnsyariah.com,1235,2024-09-09,-0.0275590551181102
BVIC.JK,Bank Victoria International Tbk,Main,Banks,Banks,Financials,Banks,1302270050304,391,"Graha BIP Lantai 10, Jl. Gatot Subroto Kav. 23, Jakarta",718,1999-06-30,www.victoriabank.co.id,021-5228888,corsec@victoriabank.co.id,83,2024-09-09,0.0
DNAR.JK,PT Bank Oke Indonesia Tbk.,Development,Banks,Banks,Financials,Banks,1418961616896,382,"Jl. Ir. H. Juanda No. 12, Jakarta Pusat",313,2014-07-11,www.okbank.co.id,021-2312633,corsec@okbank.co.id,84,2024-09-09,0.0
INPC.JK,Bank Artha Graha Internasional Tbk,Main,Banks,Banks,Financials,Banks,1395414532096,386,"GEDUNG ARTHA GRAHA LT. 5, JL. JEND SUDIRMAN KAV. 52-53 SENAYAN KEBAYORAN BARU JAKARTA SELATAN DKI JAKARTA RAYA -12190",1437,1990-08-23,www.arthagraha.com,(021) 515-2168,co_secretary@ag.co.id,69,2024-09-09,0.0615384615384615
MASB.JK,PT Bank Multiarta Sentosa Tbk,Development,Banks,Banks,Financials,Banks,4654672904192,201,"Grha Bank Mas
Jl Setiabudi Selatan Kav.7-8, 
Jakarta Selatan 12920",804,2021-06-30,www.bankmas.co.id,(021) 57906006,corsec@bankmas.co.id,3320,2024-09-09,0.0
MAYA.JK,PT Bank Mayapada Internasional Tbk,Main,Banks,Banks,Financials,Banks,6175624527872,179,"Mayapada Tower Lt. 1
Jl. Jend. Sudirman Kav. 28
Jakarta",2857,1997-08-29,www.bankmayapada.com,021-5212288,corsec@bankmayapada.com,236,2024-09-09,0.0350877192982456
MCOR.JK,PT Bank China Construction Bank Indonesia Tbk,Main,Banks,Banks,Financials,Banks,2995656327168,256,"Gedung Perkantoran Sahid Sudirman Center Lt. 15,Jl. Jend. Sudirman Kav. 86, Jakarta Pusat, 10220",1152,2007-07-03,idn.ccb.com,021-50821000,corsec@idn.ccb.com,79,2024-09-09,0.0128205128205128
MEGA.JK,Bank Mega Tbk,Main,Banks,Banks,Financials,Banks,58998023782400,32,"Menara Bank Mega
Jl. Kapten Tendean No.12-14A
Jakarta 12970",4760,2000-04-17,www.bankmega.com,7917-5000,,5025,2024-09-09,0.00903614457831325
NISP.JK,PT Bank OCBC NISP Tbk,Main,Banks,Banks,Financials,Banks,31205609177088,60,OCBC Tower Jl. Prof. Dr. Satrio Kav. 25 Jakarta Selatan 12940,6124,1994-10-20,www.ocbc.id,(021) 25533888,corporate.secretariat@ocbc.id,1360,2024-09-09,0.00740740740740741
NOBU.JK,PT Bank Nationalnobu Tbk.,Development,Banks,Banks,Financials,Banks,4636632678400,202,"Gedung Graha Lippo Jl. Boulevard Diponegoro Nomor 101, Kelurahan Bencongan Indah, Kecamatan Kelapa Dua, Kabupaten Tangerang",1275,2013-05-20,www.nobubank.com,(021) 59990000,corsec@nobubank.com,620,2024-09-09,-0.008
PNBN.JK,Bank Pan Indonesia Tbk,Main,Banks,Banks,Financials,Banks,32389617156096,58,"Panin Bank Center, Jl.Jend.Sudirman - Senayan, Jakarta 10270",10909,1982-12-29,www.panin.co.id,021-5735555 / 021-2700545,panin@panin.co.id,1345,2024-09-09,-0.0288808664259928
PNBS.JK,PT Bank Panin Dubai Syariah Tbk.,Development,Banks,Banks,Financials,Banks,2057120907264,322,"Gedung Panin Life Center Lantai 3A, Jl. Letjend S. Parman Kav.91, Kota Bambu Utara Palmerah Jakarta Barat DKI Jakarta",503,2014-01-15,www.pdsb.co.id,(021) 56956100,corsec@pdsb.co.id,53,2024-09-09,0.0192307692307692
SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk,Main,Banks,Banks,Financials,Banks,6787796828160,167,"Gedung Treasury Tower Lt. 26 & 27
District 8, SCBD Lot. 28
Jl. Jend. Sudirman Kav. 52 - 53
Jakarta",1379,2006-12-15,www.bankwoorisaudara.com,(62-21) 50871906,saudara@bankwoorisaudara.com,462,2024-09-09,0.0
